Length,Time_Diff,FlowID,Protocol_UDP,Actual_App,Predicted_With_FlowID,Predicted_Without_FlowID
1236,0.0,6,True,zoom,zoom,zoom
815,0.0,42,False,google,google,firefox
66,0.0003881454467773,44,False,firefox,firefox,firefox
1078,0.0005481243133544,7,True,zoom,zoom,zoom
66,2.193450927734375e-05,44,False,firefox,firefox,firefox
1132,0.0,6,True,zoom,zoom,zoom
11190,4.601478576660156e-05,28,False,spotify,spotify,youtube
86,2.193450927734375e-05,28,False,spotify,spotify,youtube
1330,0.0009379386901855,6,True,zoom,zoom,zoom
5523,0.0,1,False,firefox,firefox,firefox
1158,1.1920928955078125e-06,6,True,zoom,zoom,zoom
54218,5.698204040527344e-05,28,False,spotify,spotify,spotify
117,1.1920928955078125e-06,42,False,google,google,google
351,0.0021679401397705,16,True,zoom,zoom,zoom
117,0.0006730556488037,42,False,google,google,google
66,3.695487976074219e-05,18,False,zoom,zoom,firefox
1277,0.0,6,True,zoom,zoom,zoom
86,4.410743713378906e-05,35,False,youtube,youtube,youtube
11266,0.0,79,False,firefox,firefox,youtube
1078,0.0,7,True,zoom,zoom,zoom
381,9.5367431640625e-07,35,False,youtube,youtube,firefox
117,9.5367431640625e-07,28,False,spotify,spotify,google
1265,0.0074608325958251,6,True,zoom,zoom,zoom
124,0.000823974609375,35,False,youtube,youtube,youtube
86,3.0994415283203125e-05,42,False,google,google,youtube
86,0.0128939151763916,35,False,youtube,youtube,youtube
343,0.0005898475646972,7,True,zoom,zoom,zoom
1215,0.0,6,True,zoom,zoom,zoom
1266,0.0,6,True,zoom,zoom,zoom
1195,0.0,6,True,zoom,zoom,zoom
148,0.0065369606018066,7,True,zoom,zoom,zoom
878,0.0,79,False,firefox,firefox,firefox
86,0.0023760795593261,28,False,spotify,spotify,youtube
1078,0.0,7,True,zoom,zoom,zoom
86,0.0037300586700439,35,False,youtube,youtube,google
949,0.002925157546997,28,False,spotify,spotify,zoom
330,0.0178029537200927,16,True,zoom,zoom,zoom
302,0.0001239776611328,16,True,zoom,zoom,youtube
86,2.384185791015625e-05,35,False,youtube,youtube,youtube
86,3.504753112792969e-05,28,False,spotify,spotify,spotify
1294,0.0,42,False,google,google,google
1328,0.0,6,True,zoom,zoom,zoom
66,0.000216007232666,3,False,youtube,youtube,zoom
66,0.0078370571136474,1,False,zoom,zoom,firefox
3497,0.0054628849029541,28,False,spotify,spotify,firefox
1045,0.0,6,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
125,0.0,42,False,google,google,google
1078,0.0,7,True,zoom,zoom,zoom
1289,0.0,6,True,zoom,zoom,zoom
1237,0.0036368370056152,6,True,zoom,zoom,zoom
328,0.0094637870788574,7,True,zoom,zoom,zoom
1294,0.0,35,False,youtube,youtube,google
1078,0.0005490779876708,7,True,zoom,zoom,zoom
106,0.022252082824707,16,True,zoom,zoom,zoom
132,0.0,35,False,youtube,youtube,youtube
210,0.0,79,False,firefox,firefox,youtube
95,0.0283811092376709,14,True,youtube,youtube,google
1294,0.0,42,False,google,google,google
1078,0.0,7,True,zoom,zoom,zoom
1078,9.5367431640625e-07,7,True,zoom,zoom,zoom
74,2.8848648071289062e-05,0,False,google,google,spotify
172,0.0056378841400146,16,True,zoom,zoom,zoom
1289,0.0028369426727294,6,True,zoom,zoom,zoom
1078,0.0059270858764648,7,True,zoom,zoom,zoom
194,0.0004389286041259,15,True,zoom,zoom,zoom
86,3.600120544433594e-05,35,False,youtube,youtube,google
1078,9.5367431640625e-07,7,True,zoom,zoom,zoom
502,0.0307490825653076,9,False,firefox,firefox,spotify
1294,0.0005130767822265,35,False,youtube,youtube,google
1307,0.0050668716430664,6,True,zoom,zoom,zoom
124,0.0025410652160644,35,False,youtube,youtube,youtube
1078,0.0,7,True,zoom,zoom,zoom
1078,0.0,7,True,zoom,zoom,zoom
86,0.0059800148010253,28,False,spotify,spotify,youtube
1294,0.0,42,False,google,google,google
1046,0.0,6,True,zoom,zoom,zoom
159,0.007267951965332,7,True,zoom,zoom,zoom
172,0.001072883605957,16,True,zoom,zoom,zoom
60,0.0,28,False,spotify,spotify,spotify
146,0.0011429786682128,16,True,zoom,zoom,zoom
146,0.0070018768310546,7,True,zoom,zoom,zoom
147,0.0096769332885742,7,True,zoom,zoom,zoom
1266,0.0003528594970703,6,True,zoom,zoom,zoom
106,0.0099670886993408,7,True,zoom,zoom,zoom
4250,0.0003368854522705,35,False,youtube,youtube,youtube
2862,0.0004398822784423,35,False,youtube,youtube,youtube
1078,0.003951072692871,7,True,zoom,zoom,zoom
1171,0.0027360916137695,6,True,zoom,zoom,zoom
1466,0.0,1,False,firefox,firefox,firefox
1294,9.5367431640625e-07,35,False,youtube,youtube,youtube
1078,0.0103671550750732,7,True,zoom,zoom,zoom
862,0.0008950233459472,35,False,youtube,youtube,spotify
1155,0.0121510028839111,6,True,zoom,zoom,zoom
92,0.0012738704681396,27,True,firefox,firefox,google
135,0.0069048404693603,0,False,youtube,zoom,zoom
4918,0.0,42,False,google,google,youtube
1078,0.003026008605957,7,True,zoom,zoom,zoom
18266,2.288818359375e-05,79,False,firefox,firefox,firefox
86,0.0,84,False,firefox,firefox,youtube
1078,0.0007188320159912,7,True,zoom,zoom,zoom
86,6.4849853515625e-05,35,False,youtube,youtube,youtube
339,0.0031919479370117,7,True,zoom,zoom,zoom
66,4.00543212890625e-05,8,False,firefox,firefox,firefox
1175,0.0024700164794921,6,True,zoom,zoom,zoom
147,0.0071220397949218,7,True,zoom,zoom,zoom
1085,0.0013051033020019,7,True,zoom,zoom,zoom
161,0.0305371284484863,35,False,youtube,youtube,youtube
86,0.000180959701538,28,False,spotify,spotify,youtube
1078,0.0,7,True,zoom,zoom,zoom
316,0.0037710666656494,16,True,zoom,zoom,zoom
1294,0.0,42,False,google,google,google
147,0.0068209171295166,7,True,zoom,zoom,zoom
86,2.288818359375e-05,42,False,google,google,spotify
66,9.679794311523438e-05,44,False,firefox,firefox,firefox
144,0.0002980232238769,10,False,zoom,zoom,google
1175,0.0,6,True,zoom,zoom,zoom
86,0.0022718906402587,35,False,youtube,youtube,youtube
1279,9.5367431640625e-07,6,True,zoom,zoom,zoom
86,0.0,21,False,zoom,zoom,youtube
